ISO ALPHA-3 code,WHO Region,Country,Antenatal care coverage (%) -  at least 4 visits (any provider),See notes=1,Data coverage period start year,Data coverage period end year,Survey start year,Survey end year,Sample size; 0=no sample size provided,Source,1=source verified; 2=source not verified,Notes,Source code: 1=survey; 2=adm.; 3=other,Age if not 15-49 years
AUS ,WPRO,Australia,91.9,1,2007,2007,2007,2007,82454,"Laws P, Sullivan EA. Australia’s mothers and babies 2007. Perinatal statistics series no. 23. Cat. no. PER 48. Sydney, Austalia: AIHW National Perinatal Statistics Unit, 2009.",1,"Data only includes information from Queensland, South Australia and the Northern Territory. 5 or more visits.",2,
AUS ,WPRO,Australia,92,1,2008,2008,2008,2008,83800,"Laws PJ, Li Z, Sullivan EA. Australia's mothers and babies 2008. Perinatal statistics series no. 24. Cat. No. PER 50. Canberra, Australia, 2010. ",1,"Data only includes information from Queensland, South Australia and the Northern Territory. 5 or more visits.",2,
AUS ,WPRO,Australia,91.2,1,2009,2009,2009,2009,90217,"Li Z, McNally L, Hilder L, Sullivan EA. Australia’s mothers and babies 2009. Perinatal statistics series no. 25. Cat. no. PER 52. Sydney: AIHW National. Perinatal Epidemiology and Statistics Unit, 2011.",1,"Data only includes information from Queensland, South Australia, Australian Capital Territory and the Northern Territory. 5 or more visits.",2,
AUS ,WPRO,Australia,90.4,1,2010,2010,2010,2010,93388,"Li Z, Zeki R, Hilder L and Sullivan EA 2012. Australia’s mothers and babies 2010. Perinatal statistics series no. 27. Cat. no. PER 57. Canberra: AIHW National Perinatal Epidemiology and Statistics Unit.",1,"Data only includes information from Queensland, South Australia, Tasmania, Australian Capital Territory and the Northern Territory. 5 or more visits.",2,
AUS ,WPRO,Australia,94.4,,2011,2011,2011,2011,192652,"Li Z, Zeki R, Hilder L and Sullivan EA. Australia’s mothers and babies 2011. Perinatal statistics series no. 28. Cat. no. PER 59. Canberra: AIHW National Perinatal Epidemiology and Statistics Unit; 2013.",1,5 or more visits.,2,
AUS ,WPRO,Australia,94.6,1,2012,2012,2012,2012,213636,"Hilder L, Zhichao Z, Parker M, Jahan S, Chambers GM. Australia’s mothers and babies 2012.Perinatal statistics series no. 30. Cat. no. PER 69. Canberra: AIHW; 2014.",1,5 or more visits.,2,
AUS ,WPRO,Australia,95,1,2013,2013,2013,2013,0,Australian Institute of Health and Welfare. Australia’s mothers and babies 2013—in brief. Perinatal statistics series no. 31. Cat no. PER 72. Canberra: AIHW; 2015.,1,5 or more visits.,2,
AUT ,EURO,Austria,no data,,,,,,,,,,,
AZE ,EURO,Azerbaijan,30.4,1,1996,2001,2001,2001,3430,"Ministry of Health, DRH/CDC. Reproductive Health Survey Azerbaijan, 2001. Fianl Report. Atlanta, Goergia, USA: CDC, 2003.",1,5 or more visits,1,
AZE ,EURO,Azerbaijan,45.2,,2001,2006,2006,2006,1686,"State Statistical Committee (SSC) [Azerbaijan] and Macro International Inc. Azerbaijan Demographic and Health Survey 2006. Calverton, Maryland, USA: State Statistical Committee and 1Macro International Inc., 2008.",1,,1,
AZE ,EURO,Azerbaijan,66.1,,2006,2011,2011,2011,1623,"Public Health and Reforms Centre (PHRC) [Azerbaijan]. Demographic and Health Survey, Azerbaijan, 2011. Baku, Azerbaijan: Ministry of Health (MoH) [Azerbaijan]; 2013.",1,,1,
BHS ,AMRO,Bahamas,86,,2009,2009,2009,2009,0,"Pan American Health Organization, Health Information and Analysis Project. Health Situation in the Americas: Basic Indicators 2011. Washington, D.C., United States of America, 2011.",2,,3,
BHS ,AMRO,Bahamas,86,,2010,2010,2010,2010,0,"Pan American Health Organization, Health Information and Analysis Project. Health Situation in the Americas: Basic Indicators 2012. Washington, D.C., United States of America, 2012.",2,,3,
BHS ,AMRO,Bahamas,86,,2011,2011,2011,2011,0,"Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2013. Washington, D.C., United States of America; 2013.",2,,3,
BHS ,AMRO,Bahamas,85,,2013,2013,2013,2013,0,"Pan American Health Organization, Health Information and Analysis Project. Health Situation in the Americas: Basic Indicators 2014. Washington, D.C., United States of America, 2014.",2,,3,
BHR ,EMRO,Bahrain,100,,1995,1995,1995,1995,0,Review of the Progress of the Millennium Development Goals in the Kingdom of Bahtain. A National Perspectice. Central Informatics Organization; YEAR??,2,,3,
BHR ,EMRO,Bahrain,100,,2000,2000,2000,2000,0,Review of the Progress of the Millennium Development Goals in the Kingdom of Bahtain. A National Perspectice. Central Informatics Organization; YEAR??,2,,3,
BHR ,EMRO,Bahrain,100,,2005,2005,2005,2005,0,Review of the Progress of the Millennium Development Goals in the Kingdom of Bahtain. A National Perspectice. Central Informatics Organization; YEAR??,2,,3,
BHR ,EMRO,Bahrain,100,,2007,2007,2007,2007,0,Review of the Progress of the Millennium Development Goals in the Kingdom of Bahtain. A National Perspectice. Central Informatics Organization; YEAR??,2,,3,
BHR ,EMRO,Bahrain,100,,2010,2010,2010,2010,18150,Ministry of Health. Bahrain Health Summary Statistics 2013. Bahrain; 2014.,1,,2,
BHR ,EMRO,Bahrain,100,,2011,2011,2011,2011,17573,Ministry of Health. Bahrain Health Summary Statistics 2013. Bahrain; 2014.,1,,2,
BHR ,EMRO,Bahrain,100,,2012,2012,2012,2012,19119,Ministry of Health. Bahrain Health Summary Statistics 2013. Bahrain; 2014.,1,,2,
BHR ,EMRO,Bahrain,100,,2013,2013,2013,2013,19995,Ministry of Health. Bahrain Health Summary Statistics 2013. Bahrain; 2014.,1,,2,
BHR ,EMRO,Bahrain,100,,2014,2014,2014,2014,0,Ministry of Health. Bahrain Health Summary Statistics 2013. Bahrain; 2014.,1,,2,
BGD ,SEARO,Bangladesh,25.5,,2008,2011,2011,2011,4652,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ICF International. Bangladesh Demographic and Health Survey 2011. Dhaka, Bangladesh and Calverton, Maryland, USA: NIPORT, Mitra and Associates, and ICF International, 2013.",1,,1,
BGD ,SEARO,Bangladesh,24.7,,2010,2013,2012,2013,7950,"Multiple Indicator Cluster Survey 2012-2013. Progotir Pathey: Final Report. Bangladesh Bureau of Statistics and UNICEF Bangladesh. Dhaka, Bangladesh; 2015.",1,,1,
BGD ,SEARO,Bangladesh,25,,2010,2013,2013,2013,2570,National Institute of Population Research and Training (NIPORT). Utilization of Essential service Delivery Survey 2013. Provisional Report. Bangladesh; 2014.,1,,1,
BGD ,SEARO,Bangladesh,23.4,,2007,2010,2010,2010,17149,"Streatfield PK, El Arifeen S, Al-Sabir A, Jamil K. Bangladesh Maternal Mortality and Health Care Survey 2010. Summary of Key Findings and Implications. Bangladesh, 2011.",1,,1,
BGD ,SEARO,Bangladesh,20.6,,2002,2007,2007,2007,4905,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and Macro International. Bangladesh Demographic and Health Survey 2007. Dhaka, Bangladesh and Calverton, Maryland, USA: National Institute of Population Research and Training, Mitra and Associates, and Macro International, 2009.",1,,1,
BGD ,SEARO,Bangladesh,15.9,,1999,2004,2004,2004,5416,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ORC Macro.Bangladesh Demographic and Health Survey 2004. Dhaka, Bangladesh and Calverton, Maryland [USA]: National Institute of Population Research and Training, Mitra and Associates, and ORC Macro, 2005.",1,,1,
BGD ,SEARO,Bangladesh,11.6,,1998,2001,2001,2001,40657,"National Institute of Population Research and Training (NIPORT), ORC Macro, Johns Hopkins University and ICDDR,B. Bangladesh Maternal Health Services and Maternal Mortality Survey 2001. Dhaka, Bangladesh and Calverton, Maryland, USA: NIPORT, ORC Macro, Johns Hopkins University, and ICDDR,B, 2003.",1,,1,
BGD ,SEARO,Bangladesh,10.5,,1994,2000,1999,2000,5263,"National Institute of Population Research and Training (NIPORT), M itra and Associates (MA), and ORC Macro (ORCM). 2001. Bangladesh Demographic and Health Survey 1999-2000. Dhaka, Bangladesh and Calverton, Maryland [USA]: National Institute of Population Research and Training, Mitra and Associates, and ORC Macro.",1,,1,
BGD ,SEARO,Bangladesh,5.8,,1991,1997,1996,1997,6230,"Mitra, S.N., Ahmed A1-Sabir, Anne R. Cross, and Kanta Jamil. Bangladesh Demographic and Health Survey, 1996-1997. Dhaka and Calverton, Maryland: National Institute of Population Research and Training (NIPORT), Mitra and Associates, and Macro International Inc., 1997.",1,,1,
BGD ,SEARO,Bangladesh,5.5,,1990,1994,1993,1994,3850,"Mitra, S.N., M. Nawab Ali, Shahidul Islam, Anne R. Cross, and Tulshi Saha. Bangladesh Demographic and Health Survey, 1993-1994. Calverton, Maryland: National Institute of Population Research and Training (NIPORT), Mitra and Associates, and Macro International Inc., 1994.",1,,1,
BGD ,SEARO,Bangladesh,31.2,,2011,2014,2014,2014,4627,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, ICF International. Bangladesh Demographic and Health Survey 2014: Key Indicators. : Dhaka, Bangladesh, and Rockville, Maryland, USA: NIPORT, Mitra and Associates, ICF International; 2015.",1,,1,
BRB ,AMRO,Barbados,89,,2011,2011,2011,2011,0,"Pan American Health Organization/World Health Organization (PAHO/WHO), Health Information and Analysis Project (HSD/HA). Health Situation in the Americas: Basic Indicators 2012. Washington, DC, United States of America, 2012.",2,,3,
BRB ,AMRO,Barbados,87.9,,2010,2012,2012,2012,142,"Barbados Statistical Service. Barbados Multiple Indicator Cluster Survey 2012. Final Report. BSS, Bridgetown, Barbados; 2014.",1,,1,
BRB ,AMRO,Barbados,81,,2012,2012,2012,2012,0,"Pan American Health Organization, Health Information and Analysis Project. Health Situation in the Americas: Basic Indicators 2013. Washington, D.C., United States of America; 2013.",2,,3,
BRB ,AMRO,Barbados,98,,2013,2013,2013,2013,0,"Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2015. Washington, D.C., United States of America; 2015.",2,,3,
BLR ,EURO,Belarus,99.7,,2010,2012,2012,2012,730,"National Statistical Committee of the Republic of Belarus, the UN Children's Fund (UNICEF). Multiple Indicator Cluster Survey to assess the situation of children and women in the Republic of Belarus, 2012. Final Report. Minsk, Belarus: National Statistical Committee of the Republic of Belarus, UNICEF, 2013.",1,,1,
BEL ,EURO,Belgium,no data,,,,,,,,,,,
BLZ ,AMRO,Belize,76.4,1,1986,1991,1991,1991,1991,"Central Statistical Office, Ministry of Finance, CDC. 1991 Belize Family Health Survey. Final Report. Atlanta, Gorgia, USA: CDC, 1992.",1,5 or more visits.,1,15-44
BLZ ,AMRO,Belize,66.4,1,1994,1999,1999,1999,2094,"Central Statistical Office. 1999 Belize Family Health Survey - Females. Belize, 2001.",1,5 or more visits.,1,
BLZ ,AMRO,Belize,83.1,,2009,2011,2011,2011,685,Statistical Institute of Belize (SIB) and UNICEF. The Belize Multiple Indicator Cluster Survey (MICS) 2011. SIB and UNICEF: Belize; 2012.,1,,1,
BEN ,AFRO,Benin,53.7,,1993,1996,1996,1996,2939,"Kodjogbé, Nicalse, Gora Mboup, Justin Tossou, IAopoldine de Souza, Timothée Gandaho, Alphonse Guédémé, Thomas Houedokoho, Rafatou Houndékon, Thomas Tohouegnon, Suzanne Zomahoun, Virgile Capo-Chichi, et Andrée Cossi. Enquête Démographique et de Santé, République de Bénin 1996. Calverton, Maryland USA: Institut National de la Statistique et de l'Analyse Économique et Macro International Inc., 1997.",1,,1,
BEN ,AFRO,Benin,61.6,,1996,2001,2001,2001,3524,"Institut National de la Statistique et de l’Analyse Économique (INSAE) et ORC Macro. Enquête Démographique et de Santé au Bénin 2001. Calverton, Maryland, USA: Institut National de la Statistique et de l’Analyse Économique et ORC Macro, 2002.",1,,1,
BEN ,AFRO,Benin,60.5,,2001,2006,2006,2006,10521,"Institut National de la Statistique et de l’Analyse Économique (INSAE) [Bénin] et Macro International Inc. Enquête Démographique et de Santé (EDSB-III) - Bénin 2006. Calverton, Maryland, USA : Institut National de la Statistique et de l’Analyse Économique et Macro International Inc., 2007.",1,,1,
BEN ,AFRO,Benin,58.2,,2006,2012,2011,2012,8993,"Institut National de la Statistique et de l’Analyse Économique (INSAE), ICF International, Calverton, Maryland. Enquête Démographique et de Santé et à Indicateurs Multiples du Bénin EDS-MICS-IV 2011-2012. Rapport Préliminaire. ICF International, Calverton, Maryland, 2012.",1,,1,
BEN ,AFRO,Benin,58.8,,2012,2014,2014,2014,0,"Institut National de la Statistique et de l’Analyse Economique (INSAE). Enquête par grappes à indicateurs multiples (MICS), 2014, Résultats clés. Cotonou, Bénin, Institut National de la Statistique et de l’Analyse Economique; 2015.",1,,2,
BTN ,SEARO,Bhutan,77.3,,2008,2010,2010,2010,2368,"National Statistics Bureau. Bhutan Multiple Indicator Survey 2010. National Statistics Bureau, Thrimphu, Bhutan, 2011.",1,,1,
BTN ,SEARO,Bhutan,81.5,,2010,2012,2012,2012,2144,"Ministry of Health. 2012 National Health Survey (NHS). Thimphu, Bhutan; 2014.",1,,1,
BOL ,AMRO,Bolivia (Plurinational State of),48,,1995,1998,1998,1998,0,"Instituto Nacional de Estadística, Ministerio de Hacienda, Macro International Inc. Encuesta Nacional de Demografía y Salud 1998. Calverton, Maryland, USA: Macro International Inc., 1998.
",1,,1,
BOL ,AMRO,Bolivia (Plurinational State of),57.9,,1998,2003,2003,2003,7261,"Ministerio de Salud y Deportes (MSD), Programa Reforma de Salud (PRS), Instituto Nacional de Estadística (INE), ORC Macro. Encuesta Nacional de Demografía y Salud ENDSA 2003. Calverton, Maryland, USA: ORC Macro, 2004.",1,,1,
BOL ,AMRO,Bolivia (Plurinational State of),72.1,,2003,2008,2008,2008,6472,"Ministerio de Salud y Deportes (MSD), Programa Reforma de Salud (PRS), Instituto Nacional de Estadística (INE), Macro International. Encuesta Nacional de Demografía y Salud ENDSA 2008. Calverton, Maryland, USA: Macro International, 2009.",1,,1,
BOL ,AMRO,Bolivia (Plurinational State of),58.5,,2011,2011,2011,2011,0,"Pan American Health Organization, Health Information and Analysis Project. Health Situation in the Americas: Basic Indicators 2012. Washington, D.C., United States of America, 2012.",2,,3,
BOL ,AMRO,Bolivia (Plurinational State of),58.8,,2013,2013,2013,2013,0,"Pan American Health Organization, Health Information and Analysis Project. Health Situation in the Americas: Basic Indicators 2014. Washington, D.C., United States of America, 2014.",2,,3,
BOL ,AMRO,Bolivia (Plurinational State of),75.3,,2007,2012,2012,2012,11259,"Unidad de Análisis de Políticas Sociales y Económicas (UDAPE), Ministerio de Salud. Encuesta de Evaluación de Salud y Nutrición 2012: Informe de Resultados. UDAPE, La Paz; 2014.",1,,1,
BIH ,EURO,Bosnia and Herzegovina,84.2,,2009,2011,2011,2012,298,"The Agency for Statistics of Bosnia and Herzegovina, the Federal Ministry of Health, the Ministry of Health and Social Welfare of the Republic of Srpska and the Institute for Public Health of the Federation of Bosnia and Herzegovina. Bosnia and Herzegovina Multiple Indicator Cluster Survey (MICS) 2011–2012, Final Report. Sarajevo: UNICEF, 2013.",1,,1,
BWA ,AFRO,Botswana,73.3,,2005,2007,2007,2007,1397,"Central Statistics Office, UNICEF. 2007 Botswana Family Health Survey - IV Report. Gaborone, Botswana, 2009.",1,,1,
BRA ,AMRO,Brazil,77,,1991,1996,1996,1996,0,"Sociedade Civil Bem-Estar Familiar no Brasil, BEMFAM, Programa de Pesquisas de Demografia e Saúde (DHS) Macro International Inc. Brasil Pesquisa Nacional Sobre Demografia e Saúde 1996. Calverton, Maryland, USA: Macro International Inc., 1997.",1,,1,
BRA ,AMRO,Brazil,45.6,1,1997,2001,2001,2001,0,"Ministério da Saúde, Secretaria de Vigilancia em Saúde, Departamento de Análise de Situacao de Saúde. Saúde Brasil 2004 - uma análise de situacao de saúde. Brasília DF. Brazil, 2004. ",1,7 or more visits. ,1,
BRA ,AMRO,Brazil,79.3,,2000,2000,2000,2000,3.206.761,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,3,
BRA ,AMRO,Brazil,80.8,1,2001,2001,2001,2001,3.115.474,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,7 or more visits.,2,
BRA ,AMRO,Brazil,83.1,,2002,2002,2002,2002,3.059.402,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,2,
BRA ,AMRO,Brazil,84.7,,2003,2003,2003,2003,3.038.251,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,2,
BRA ,AMRO,Brazil,86,,2004,2004,2004,2004,3.026.548,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,2,
BRA ,AMRO,Brazil,86.7,,2005,2005,2005,2005,3.035.096,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,2,
BRA ,AMRO,Brazil,80.9,1,2001,2006,2006,2006,5056,"Ministério da Saúde. Pesquisa Nacional de Demografia e Saúde da Criança e da Mulher (PNDS 2006). Dimensões do Processo Reprodutivo e da Saúde da Criança. Brasília-DF, Brazil, 2009.",1,6 or more visits. ,1,
BRA ,AMRO,Brazil,87.9,,2006,2006,2006,2006,2.944.928,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,2,
BRA ,AMRO,Brazil,88.7,,2007,2007,2007,2007,2.891.328,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,2,
BRA ,AMRO,Brazil,89.3,,2008,2008,2008,2008,2.934.828,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,2,
BRA ,AMRO,Brazil,89.4,,2009,2009,2009,2009,2.881.581,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,2,
BRA ,AMRO,Brazil,90.2,,2010,2010,2010,2010,2.861.868,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,2,
BRA ,AMRO,Brazil,89,,2011,2011,2011,2011,2.913.160,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,2,
BRA ,AMRO,Brazil,88.7,,2012,2012,2012,2012,2.905.789,"MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil. (http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def) (database accessed October 2013).",1,,2,
BRA ,AMRO,Brazil,88.9,,2013,2013,2013,2013,2.904.027,"Ministério de Saúde. MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil; [cited 2016 January 21]. Available from: http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def",1,,2,
BRA ,AMRO,Brazil,90,,2014,2014,2014,2014,2.979.259,"Ministério de Saúde. MS/SVS/DASIS - Sistema de Informações sobre Nacidos Vivos - SINASC, Brasil; [cited 2016 September 20]. Available from: http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def",1,,2,
BRN ,WPRO,Brunei Darussalam,100,,2009,2009,2009,2009,0,"Western Pacific Country Health Information Profiles 2011 Revision. World Health Organization, Regional Office for the Western Pacific; 2011.",1,,3,
BRN ,WPRO,Brunei Darussalam,100,,2011,2011,2011,2011,0,Ministry of Health. Health Information Booklet 2011. Brunei Darussalam; 2012.,1,,2,
BRN ,WPRO,Brunei Darussalam,93.2,1,2012,2012,2012,2012,0,Ministry of Health. Health Information Booklet 2012. Brunei Darussalam; 2013.,1,Includes only public health facilities,2,
BGR ,EURO,Bulgaria,no data,,,,,,,,,,,
BFA ,AFRO,Burkina Faso,22.6,,1988,1993,1993,1993,6302,"Institut National de la Statistique et de la Démographie, Macro International Inc. Enquête Démographique et de Santé Burkina Faso 1993. Calverton, Maryland USA: Macro International Inc., 1994.
",1,,1,
BFA ,AFRO,Burkina Faso,22.7,,1993,1999,1998,1999,6218,"Institut National de la Statistique et de la Démographie, et Macro International Inc. Enquête Démographique et de Santé, Burkina Faso 1998-1999. Calverton, Maryland, USA: Macro International Inc., 2000.",1,,1,
BFA ,AFRO,Burkina Faso,17.6,,1998,2003,2003,2003,7428,"Institut National de la Statistique et de la Démographie (INSD) et ORC Macro. Enquête Démographique et de Santé du Burkina Faso 2003. Calverton, Maryland, USA: INSD et ORC Macro, 2004.",1,,1,
BFA ,AFRO,Burkina Faso,33.7,,2005,2010,2010,2010,10487,"Institut National de la Statistique et de la Démographie (INSD) et ICF International. Enquête Démographique et de Santé et à Indicateurs Multiples du Burkina Faso 2010. Calverton, Maryland, USA : INSD et ICF International, 2012.",1,,1,
BDI ,AFRO,Burundi,33.4,,2005,2010,2010,2010,5063,"Institut de Statistiques et d’Études Économiques du Burundi (ISTEEBU), Ministère de la Santé Publique et de la Lutte contre le Sida [Burundi] (MSPLS), et ICF International. Enquête Démographique et de Santé Burundi 2010. Bujumbura, Burundi : ISTEEBU, MSPLS, et ICF International, 2012.",1,,1,
CPV ,AFRO,Cabo Verde,63.9,,1993,1998,1998,1998,4820,"Instituto Nacional de Estatística (INE) [Cabo Verde], CDC. Inquérito Demográfico e de Saúde Reprodutiva 1998. Relatório Final. Cabo Verde; 1999.",1,,1,
